filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency,iou_range
test7.gcode,0.9969113206638388,1.0,0.0004855775754019,0.0,0.0,0.0,11.95335,0.0,>=0.99
test13.gcode,0.8430684541147738,1.0,0.0003282481088808,0.0,0.0,0.0,11.95335,0.0,0.8-0.9
test1.gcode,0.9904640272456632,1.0,0.0002744952681388,0.0,0.0,0.0,11.95335,0.0,>=0.99
test584.gcode,0.9999527978919536,1.0,7.12964470498512e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test876.gcode,0.9995498957073414,1.0,6.527173913076344e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test485.gcode,0.9997752147925476,1.0,4.353991793678421e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test754.gcode,0.9997520657732444,1.0,1.474624861502363e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test857.gcode,0.9997534876184088,1.0,1.458064205627334e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test686.gcode,0.9997209937099972,1.0,1.4527690602271988e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test713.gcode,0.999721470330996,1.0,1.4397415895800528e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test864.gcode,0.9996943554716092,1.0,1.3686554602534384e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test790.gcode,0.999748546844483,1.0,1.2493634573704394e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test978.gcode,0.999697743908815,1.0,1.2386109577497944e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test124.gcode,0.9998074474570042,1.0,1.2140249512837336e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test216.gcode,0.9998057981784472,1.0,1.2131128775854088e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test678.gcode,0.999707739882126,1.0,1.2119565927395145e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test210.gcode,0.9998157655448556,1.0,1.210823739765911e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test221.gcode,0.9998064753982272,1.0,1.2065920716662991e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test132.gcode,0.9998053746826704,1.0,1.2065435563625236e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test190.gcode,0.9998064586718104,1.0,1.2060937271555872e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
