filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency,iou_range
test116.gcode,0.0,,,,,,11.95335,0.0,<0.1
test32.gcode,0.0,,,,,,11.95335,0.0,<0.1
test13.gcode,0.8430684541147738,1.0,0.0003282481088808,0.0,0.0,0.0,11.95335,0.0,0.8-0.9
test1.gcode,0.9904640272456632,1.0,0.0002744952681388,0.0,0.0,0.0,11.95335,0.0,>=0.99
test7.gcode,0.9969113206638388,1.0,0.0004855775754019,0.0,0.0,0.0,11.95335,0.0,>=0.99
test540.gcode,0.999265077725156,1.0,0.0,0.0,0.0,0.0,11.95335,0.0,>=0.99
test876.gcode,0.9995498957073414,1.0,6.527173913076344e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test998.gcode,0.9996550452900924,1.0,9.160347524620355e-06,0.0,0.0,0.0,11.95335,0.0,>=0.99
test718.gcode,0.9996799060849998,1.0,1.0827165483178574e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test709.gcode,0.9996800717781412,1.0,9.66479488115874e-06,0.0,0.0,0.0,11.95335,0.0,>=0.99
test683.gcode,0.9996823278793192,1.0,1.076158009487726e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test666.gcode,0.9996859013799544,1.0,1.1390667671641708e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test812.gcode,0.9996875874286582,1.0,7.828553928508723e-06,0.0,0.0,0.0,11.95335,0.0,>=0.99
test874.gcode,0.9996923425989012,1.0,1.0275723108506887e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test942.gcode,0.9996924244556824,1.0,6.473919412552076e-06,0.0,0.0,0.0,11.95335,0.0,>=0.99
test747.gcode,0.9996932890698786,1.0,6.45442223005706e-06,0.0,0.0,0.0,11.95335,0.0,>=0.99
test815.gcode,0.9996933107293056,1.0,1.1535078293229158e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test681.gcode,0.9996936082795888,1.0,6.438919538914554e-06,0.0,0.0,0.0,11.95335,0.0,>=0.99
test690.gcode,0.9996939575196148,1.0,1.1700883875936471e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
test864.gcode,0.9996943554716092,1.0,1.3686554602534384e-05,0.0,0.0,0.0,11.95335,0.0,>=0.99
