filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency,iou_range
test39.gcode,0.0,,,,,,12.000052,0.0,<0.1
test632.gcode,0.0,,,,,,12.000052,0.0,<0.1
test757.gcode,0.0,,,,,,12.000052,0.0,<0.1
test422.gcode,8.244896423911646e-05,1.0,0.004363585409482,0.0,0.0,0.0,12.000052,0.0,<0.1
test373.gcode,0.0002231026440755,1.0,8.838834763869134e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test426.gcode,0.0028058376557535,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test363.gcode,0.002911479380905,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test584.gcode,0.0058660348905785,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test380.gcode,0.0061930524707711,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test343.gcode,0.0084905634988926,1.0,0.0001590000000007,0.0,0.0,0.0,12.000052,0.0,<0.1
test46.gcode,0.009090909090909,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test391.gcode,0.0091774423479525,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test664.gcode,0.0092087907089965,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test16.gcode,0.0105620520558351,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test482.gcode,0.0117356156465954,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test868.gcode,0.0125,1.0,7.105427357601002e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test514.gcode,0.0148006628778468,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test110.gcode,0.015384615384615,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test830.gcode,0.015618929249827,1.0,7.105427357601002e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test751.gcode,0.0161200794593584,1.0,1.4701185968362007e-05,0.0,0.0,0.0,12.000052,0.0,<0.1
test853.gcode,0.0175156421223797,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test416.gcode,0.0175438596491069,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test510.gcode,0.0177777206644473,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test36.gcode,0.0181818181818222,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test350.gcode,0.0185185185185089,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test101.gcode,0.0199999999999981,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test992.gcode,0.0202256826662989,1.0,1.1474351434687784e-05,0.0,0.0,0.0,12.000052,0.0,<0.1
test876.gcode,0.0217684982811604,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test663.gcode,0.022294071833239,1.0,3.552713678800501e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test866.gcode,0.0226460073062523,1.0,0.8895025000000061,0.0,0.0,0.0,12.000052,0.0,<0.1
test598.gcode,0.0233815840814016,1.0,9.777145641344731e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test388.gcode,0.0243902439024228,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test24.gcode,0.0243902439024295,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test43.gcode,0.026110268342154,1.0,0.0001795000000001,0.0,0.0,0.0,12.000052,0.0,<0.1
test875.gcode,0.0261875761266751,1.0,1.7763568394002505e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test377.gcode,0.0287889077607166,1.0,0.0016262500000028,0.0,0.0,0.0,12.000052,0.0,<0.1
test379.gcode,0.0294504338679991,1.0,0.0010714285714367,0.0,0.0,0.0,12.000052,0.0,<0.1
test70.gcode,0.0305010893246186,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test179.gcode,0.030885727598914,1.0,0.01373380350175,0.0,0.0,0.0,12.000052,0.0,<0.1
test610.gcode,0.0354585437206936,1.0,2.131628207280301e-14,0.0,0.0,0.0,12.000052,0.0,<0.1
test197.gcode,0.0389084148936414,1.0,0.034431725672997,0.0,0.0,0.0,12.000052,0.0,<0.1
test198.gcode,0.0389089636573633,1.0,0.0467890189391194,0.0,0.0,0.0,12.000052,0.0,<0.1
test338.gcode,0.0403695112507837,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test361.gcode,0.0406516820531369,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test463.gcode,0.047329390456105,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test367.gcode,0.0474708164481839,1.0,0.0003190517241382,0.0,0.0,0.0,12.000052,0.0,<0.1
test764.gcode,0.0476263587318321,1.0,3.552713678800501e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test653.gcode,0.0503579781194735,1.0,7.387546134862685e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test680.gcode,0.0562280374456456,1.0,1.079032430723481e-05,0.0,0.0,0.0,12.000052,0.0,<0.1
test892.gcode,0.0600122950431239,1.0,0.002404038461539,0.0,0.0,0.0,12.000052,0.0,<0.1
test91.gcode,0.0656135283212025,1.0,0.0023897714883559,0.0,0.0,0.0,12.000052,0.0,<0.1
test710.gcode,0.066216418972489,1.0,3.2090245278373973e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test364.gcode,0.0664524381493275,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test865.gcode,0.0669720687435577,1.0,1.826611332934724e-05,0.0,0.0,0.0,12.000052,0.0,<0.1
test502.gcode,0.0669737925441142,1.0,4.926213748162839e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test152.gcode,0.0692146242654263,1.0,0.003055998360707,0.0,0.0,0.0,12.000052,0.0,<0.1
test910.gcode,0.0705814657795624,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test351.gcode,0.0722891566265061,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test412.gcode,0.0763987190229301,1.0,1.0378918886069796e-07,0.0,0.0,0.0,12.000052,0.0,<0.1
test982.gcode,0.0788103206258663,1.0,0.0022365299829102,0.0,0.0,0.0,12.000052,0.0,<0.1
test285.gcode,0.0792849601036475,1.0,0.0213329832355277,0.0,0.0,0.0,12.000052,0.0,<0.1
