filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency,iou_range
test866.gcode,0.0226460073062523,1.0,0.8895025000000061,0.0,0.0,0.0,12.000052,0.0,<0.1
test747.gcode,0.1764674745028726,1.0,0.3106489558778653,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test456.gcode,0.6756647744011423,1.0,0.0652512692307716,0.0,0.0,0.0,12.000052,0.0,0.5-0.8
test198.gcode,0.0389089636573633,1.0,0.0467890189391194,0.0,0.0,0.0,12.000052,0.0,<0.1
test197.gcode,0.0389084148936414,1.0,0.034431725672997,0.0,0.0,0.0,12.000052,0.0,<0.1
test565.gcode,0.4859140448283591,1.0,0.0255452948502949,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test285.gcode,0.0792849601036475,1.0,0.0213329832355277,0.0,0.0,0.0,12.000052,0.0,<0.1
test842.gcode,0.8311861207763321,1.0,0.0158500936158953,0.0,0.0,0.0,12.000052,0.0,0.8-0.9
test179.gcode,0.030885727598914,1.0,0.01373380350175,0.0,0.0,0.0,12.000052,0.0,<0.1
test312.gcode,0.6925834140691186,1.0,0.0118637018798723,0.0,0.0,0.0,12.000052,0.0,0.5-0.8
test701.gcode,0.0973687849962176,1.0,0.011602126990677,0.0,0.0,0.0,12.000052,0.0,<0.1
test695.gcode,0.4446901215399282,1.0,0.0087067661603039,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test8.gcode,0.2504737316324488,1.0,0.0076749409997925,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test700.gcode,0.0970214847038896,1.0,0.0069985964489119,0.0,0.0,0.0,12.000052,0.0,<0.1
test7.gcode,0.2901372320046845,1.0,0.0065272503057065,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test128.gcode,0.9254045725229488,1.0,0.0062543642809816,0.0,0.0,0.0,12.000052,0.0,0.9-0.95
test967.gcode,0.9686148118286368,1.0,0.0062483536572736,0.0,0.0,0.0,12.000052,0.0,0.95-0.99
test116.gcode,0.9373377827215376,1.0,0.0061092890862456,0.0,0.0,0.0,12.000052,0.0,0.9-0.95
test118.gcode,0.9415141888737658,1.0,0.005580639144256,0.0,0.0,0.0,12.000052,0.0,0.9-0.95
test789.gcode,0.8780072995212537,1.0,0.004913146271475,0.0,0.0,0.0,12.000052,0.0,0.8-0.9
