filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency,iou_range
test757.gcode,0.0,,,,,,12.000052,0.0,<0.1
test39.gcode,0.0,,,,,,12.000052,0.0,<0.1
test632.gcode,0.0,,,,,,12.000052,0.0,<0.1
test422.gcode,8.244896423911646e-05,1.0,0.004363585409482,0.0,0.0,0.0,12.000052,0.0,<0.1
test373.gcode,0.0002231026440755,1.0,8.838834763869134e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test426.gcode,0.0028058376557535,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test363.gcode,0.002911479380905,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test584.gcode,0.0058660348905785,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test380.gcode,0.0061930524707711,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test343.gcode,0.0084905634988926,1.0,0.0001590000000007,0.0,0.0,0.0,12.000052,0.0,<0.1
test46.gcode,0.009090909090909,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test391.gcode,0.0091774423479525,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test664.gcode,0.0092087907089965,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test16.gcode,0.0105620520558351,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test482.gcode,0.0117356156465954,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test868.gcode,0.0125,1.0,7.105427357601002e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test514.gcode,0.0148006628778468,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test110.gcode,0.015384615384615,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test830.gcode,0.015618929249827,1.0,7.105427357601002e-15,0.0,0.0,0.0,12.000052,0.0,<0.1
test751.gcode,0.0161200794593584,1.0,1.4701185968362007e-05,0.0,0.0,0.0,12.000052,0.0,<0.1
