filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test1.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test10.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test100.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test1000.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test101.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test102.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test103.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test104.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test105.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test106.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test107.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test108.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test109.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test11.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test110.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test111.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test112.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test113.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test114.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test115.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test116.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test117.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test118.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test119.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test12.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test120.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test121.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test122.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test123.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test124.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test125.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test126.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test127.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test128.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test129.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test13.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test130.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test131.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test132.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test133.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test134.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test135.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test136.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test137.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test138.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test139.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test14.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test140.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test141.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test142.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test143.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test144.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test145.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test146.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test147.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test148.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test149.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test15.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test150.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test151.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test152.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test153.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test154.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test155.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
test156.gcode,0.0,nan,nan,nan,nan,nan,9.938385,0.0
