filename,first_token_latency_sec,inference_time_sec
test1.dxf,0.000000,9.938385
test10.dxf,0.000000,9.938385
test100.dxf,0.000000,9.938385
test1000.dxf,0.000000,9.938385
test101.dxf,0.000000,9.938385
test102.dxf,0.000000,9.938385
test103.dxf,0.000000,9.938385
test104.dxf,0.000000,9.938385
test105.dxf,0.000000,9.938385
test106.dxf,0.000000,9.938385
test107.dxf,0.000000,9.938385
test108.dxf,0.000000,9.938385
test109.dxf,0.000000,9.938385
test11.dxf,0.000000,9.938385
test110.dxf,0.000000,9.938385
test111.dxf,0.000000,9.938385
test112.dxf,0.000000,9.938385
test113.dxf,0.000000,9.938385
test114.dxf,0.000000,9.938385
test115.dxf,0.000000,9.938385
test116.dxf,0.000000,9.938385
test117.dxf,0.000000,9.938385
test118.dxf,0.000000,9.938385
test119.dxf,0.000000,9.938385
test12.dxf,0.000000,9.938385
test120.dxf,0.000000,9.938385
test121.dxf,0.000000,9.938385
test122.dxf,0.000000,9.938385
test123.dxf,0.000000,9.938385
test124.dxf,0.000000,9.938385
test125.dxf,0.000000,9.938385
test126.dxf,0.000000,9.938385
test127.dxf,0.000000,9.938385
test128.dxf,0.000000,9.938385
test129.dxf,0.000000,9.938385
test13.dxf,0.000000,9.938385
test130.dxf,0.000000,9.938385
test131.dxf,0.000000,9.938385
test132.dxf,0.000000,9.938385
test133.dxf,0.000000,9.938385
test134.dxf,0.000000,9.938385
test135.dxf,0.000000,9.938385
test136.dxf,0.000000,9.938385
test137.dxf,0.000000,9.938385
test138.dxf,0.000000,9.938385
test139.dxf,0.000000,9.938385
test14.dxf,0.000000,9.938385
test140.dxf,0.000000,9.938385
test141.dxf,0.000000,9.938385
test142.dxf,0.000000,9.938385
test143.dxf,0.000000,9.938385
test144.dxf,0.000000,9.938385
test145.dxf,0.000000,9.938385
test146.dxf,0.000000,9.938385
test147.dxf,0.000000,9.938385
test148.dxf,0.000000,9.938385
test149.dxf,0.000000,9.938385
test15.dxf,0.000000,9.938385
test150.dxf,0.000000,9.938385
test151.dxf,0.000000,9.938385
test152.dxf,0.000000,9.938385
test153.dxf,0.000000,9.938385
test154.dxf,0.000000,9.938385
test155.dxf,0.000000,9.938385
test156.dxf,0.000000,9.938385
test157.dxf,0.000000,9.938385
test158.dxf,0.000000,9.938385
test159.dxf,0.000000,9.938385
test16.dxf,0.000000,9.938385
test160.dxf,0.000000,9.938385
test161.dxf,0.000000,9.938385
test162.dxf,0.000000,9.938385
test163.dxf,0.000000,9.938385
test164.dxf,0.000000,9.938385
test165.dxf,0.000000,9.938385
test166.dxf,0.000000,9.938385
test167.dxf,0.000000,9.938385
test168.dxf,0.000000,9.938385
test169.dxf,0.000000,9.938385
test17.dxf,0.000000,9.938385
test170.dxf,0.000000,9.938385
test171.dxf,0.000000,9.938385
test172.dxf,0.000000,9.938385
test173.dxf,0.000000,9.938385
test174.dxf,0.000000,9.938385
test175.dxf,0.000000,9.938385
test176.dxf,0.000000,9.938385
test177.dxf,0.000000,9.938385
test178.dxf,0.000000,9.938385
test179.dxf,0.000000,9.938385
test18.dxf,0.000000,9.938385
test180.dxf,0.000000,9.938385
test181.dxf,0.000000,9.938385
test182.dxf,0.000000,9.938385
test183.dxf,0.000000,9.938385
test184.dxf,0.000000,9.938385
test185.dxf,0.000000,9.938385
test186.dxf,0.000000,9.938385
test187.dxf,0.000000,9.938385
test188.dxf,0.000000,9.938385
test189.dxf,0.000000,9.938385
test19.dxf,0.000000,9.938385
test190.dxf,0.000000,9.938385
test191.dxf,0.000000,9.938385
test192.dxf,0.000000,9.938385
test193.dxf,0.000000,9.938385
test194.dxf,0.000000,9.938385
test195.dxf,0.000000,9.938385
test196.dxf,0.000000,9.938385
test197.dxf,0.000000,9.938385
test198.dxf,0.000000,9.938385
test199.dxf,0.000000,9.938385
test2.dxf,0.000000,9.938385
test20.dxf,0.000000,9.938385
test200.dxf,0.000000,9.938385
test201.dxf,0.000000,9.938385
